rank	name	country	gender	birthday	rating	age	title
157.	Karpov, Anatoly 	RUS	M	1951	2628	64	GM
158.	Lupulescu, Constantin 	ROU	M	1984	2626	31	GM
159.	Landa, Konstantin 	RUS	M	1972	2626	43	GM
160.	Petrosian, Tigran L. 	ARM	M	1984	2625	31	GM
161.	Ipatov, Alexander 	TUR	M	1993	2625	22	GM
162.	Salem, A.R. Saleh 	UAE	M	1993	2624	22	GM
163.	Piket, Jeroen 	NED	M	1969	2624	46	GM
164.	Fier, Alexandr 	BRA	M	1988	2624	27	GM
165.	Bauer, Christian 	FRA	M	1977	2623	38	GM
166.	Jones, Gawain C B 	ENG	M	1987	2623	28	GM
167.	Lenderman, Aleksandr 	USA	M	1989	2623	26	GM
168.	Feller, Sebastien 	FRA	M	1991	2622	24	GM
169.	Perunovic, Milos 	SRB	M	1984	2622	31	GM
170.	Melkumyan, Hrant 	ARM	M	1989	2622	26	GM
171.	Beliavsky, Alexander G 	SLO	M	1953	2622	62	GM
172.	Bartel, Mateusz 	POL	M	1985	2622	30	GM
173.	Zhao, Jun 	CHN	M	1986	2621	29	GM
174.	Kravtsiv, Martyn 	UKR	M	1990	2621	25	GM
175.	Wen, Yang 	CHN	M	1988	2620	27	GM
176.	Krasenkow, Michal 	POL	M	1963	2620	52	GM
177.	Swiercz, Dariusz 	POL	M	1994	2620	21	GM
178.	Seirawan, Yasser 	USA	M	1960	2620	55	GM
179.	Zhang, Zhong 	SIN	M	1978	2619	37	GM
180.	L'Ami, Erwin 	NED	M	1985	2619	30	GM
181.	Vovk, Andrey 	UKR	M	1991	2619	24	GM
182.	Milov, Vadim 	SUI	M	1972	2618	43	GM
183.	Khalifman, Alexander 	RUS	M	1966	2618	49	GM
184.	Durarbayli, Vasif 	AZE	M	1992	2618	23	GM
185.	Kononenko, Dmitry 	UKR	M	1988	2618	27	GM
186.	Van Kampen, Robin 	NED	M	1994	2618	21	GM
187.	Markus, Robert 	SRB	M	1983	2617	32	GM
188.	Baklan, Vladimir 	UKR	M	1978	2617	37	GM
189.	Prohaszka, Peter 	HUN	M	1992	2617	23	GM
190.	Vovk, Yuri 	UKR	M	1988	2617	27	GM
191.	Erdos, Viktor 	HUN	M	1987	2617	28	GM
192.	Drozdovskij, Yuri 	UKR	M	1984	2616	31	GM
193.	Smirnov, Pavel 	RUS	M	1982	2616	33	GM
194.	Delgado Ramirez, Neuris 	PAR	M	1981	2615	34	GM
195.	Buhmann, Rainer 	GER	M	1981	2615	34	GM
196.	Salgado Lopez, Ivan 	ESP	M	1991	2615	24	GM
197.	Smeets, Jan 	NED	M	1985	2614	30	GM
198.	Banikas, Hristos 	GRE	M	1978	2614	37	GM
199.	Belov, Vladimir 	RUS	M	1984	2614	31	GM
200.	Chernin, Alexander 	HUN	M	1960	2614	55	GM
201.	Kozul, Zdenko 	CRO	M	1966	2614	49	GM
202.	Hracek, Zbynek 	CZE	M	1970	2613	45	GM
203.	Onischuk, Vladimir 	UKR	M	1991	2612	24	GM
204.	Tiviakov, Sergei 	NED	M	1973	2612	42	GM
205.	Galkin, Alexander 	RUS	M	1979	2611	36	GM
206.	Hansen, Curt 	DEN	M	1964	2611	51	GM
207.	Miton, Kamil 	POL	M	1984	2610	31	GM
208.	Dautov, Rustem 	GER	M	1965	2610	50	GM
209.	Hodgson, Julian M 	ENG	M	1963	2609	52	GM
210.	Pilavov, Georgy 	UKR	M	1974	2609	41	GM
211.	Cordova, Emilio 	PER	M	1991	2609	24	GM
212.	Piorun, Kacper 	POL	M	1991	2609	24	GM
213.	Turov, Maxim 	RUS	M	1979	2609	36	GM
